CVE,CVSS,EPSS,KEV,Priority
CVE-2020-5722,9.8,0.90907,1,183.45350000000002
CVE-2020-3992,9.8,0.90872,1,183.436
CVE-2023-27997,9.8,0.90735,1,183.3675
CVE-2012-0391,9.8,0.90465,1,183.2325
CVE-2021-20021,9.8,0.90453,1,183.2265
CVE-2019-16928,9.8,0.90398,1,183.199
CVE-2018-14839,9.8,0.90301,1,183.1505
CVE-2005-2773,9.8,0.90297,1,183.1485
CVE-2021-28799,10.0,0.86248,1,183.124
CVE-2014-7169,9.8,0.90108,1,183.054
CVE-2014-0780,9.8,0.89822,1,182.911
CVE-2020-29557,9.8,0.89773,1,182.8865
CVE-2024-13161,9.8,0.89714,1,182.857
CVE-2021-22941,9.8,0.89655,1,182.8275
CVE-2013-2729,9.8,0.8953,1,182.765
CVE-2013-3346,9.8,0.89395,1,182.6975
CVE-2018-14667,9.8,0.89374,1,182.687
CVE-2015-7755,9.8,0.88951,1,182.4755
CVE-2020-15999,9.6,0.92931,1,182.4655
CVE-2017-18362,9.8,0.88418,1,182.209
CVE-2022-26258,9.8,0.88345,1,182.1725
CVE-2023-41265,9.6,0.92043,1,182.0215
CVE-2025-2747,9.8,0.87905,1,181.9525
CVE-2017-9248,9.8,0.87802,1,181.901
CVE-2017-6316,9.8,0.87787,1,181.89350000000002
CVE-2017-6077,9.8,0.87697,1,181.8485
CVE-2011-1889,9.8,0.87382,1,181.691
CVE-2021-37415,9.8,0.87375,1,181.6875
CVE-2010-3765,9.8,0.8721,1,181.605
CVE-2023-28461,9.8,0.87179,1,181.5895
CVE-2018-6789,9.8,0.87108,1,181.554
CVE-2025-53770,9.8,0.87044,1,181.522
CVE-2023-26359,9.8,0.86789,1,181.3945
CVE-2021-38163,9.9,0.84766,1,181.38299999999998
CVE-2013-0625,9.8,0.8656,1,181.28
CVE-2025-31161,9.8,0.86553,1,181.2765
CVE-2020-8657,9.8,0.86393,1,181.19650000000001
CVE-2023-4966,9.4,0.94348,1,181.174
CVE-2024-8963,9.4,0.94225,1,181.1125
CVE-2020-12271,9.8,0.86029,1,181.0145
CVE-2013-4810,9.8,0.8588,1,180.94
CVE-2025-1316,9.8,0.85847,1,180.9235
CVE-2024-20439,9.8,0.85792,1,180.89600000000002
CVE-2021-20028,9.8,0.85685,1,180.8425
CVE-2020-2509,9.8,0.8523,1,180.615
CVE-2025-2746,9.8,0.84851,1,180.4255
CVE-2015-3043,9.8,0.84719,1,180.3595
CVE-2023-27992,9.8,0.84007,1,180.0035
CVE-2020-3161,9.8,0.83148,1,179.574
CVE-2023-2868,9.4,0.90549,1,179.2745
CVE-2025-61882,9.8,0.82096,1,179.048
CVE-2015-1187,9.8,0.81232,1,178.61599999999999
CVE-2016-1019,9.8,0.80828,1,178.414
CVE-2024-42009,9.3,0.90671,1,178.3355
CVE-2018-13379,9.1,0.94475,1,178.2375
CVE-2024-21887,9.1,0.94395,1,178.1975
CVE-2021-26855,9.1,0.94354,1,178.177
CVE-2024-28987,9.1,0.9429,1,178.14499999999998
CVE-2022-23131,9.1,0.94252,1,178.126
CVE-2024-9465,9.1,0.94222,1,178.111
CVE-2021-34473,9.1,0.9421,1,178.10500000000002
CVE-2014-1776,9.8,0.80062,1,178.031
CVE-2025-0108,9.1,0.94007,1,178.0035
CVE-2024-38475,9.1,0.93929,1,177.9645
CVE-2025-57819,9.8,0.79866,1,177.933
CVE-2018-7445,9.8,0.79865,1,177.9325
CVE-2021-20016,9.8,0.79818,1,177.909
CVE-2024-41713,9.1,0.93572,1,177.786
CVE-2022-26143,9.8,0.79329,1,177.6645
CVE-2018-14847,9.1,0.92843,1,177.4215
CVE-2012-3152,9.1,0.92637,1,177.3185
CVE-2021-40438,9.0,0.94432,1,177.216
CVE-2021-35211,9.0,0.9436,1,177.18
CVE-2021-45046,9.0,0.9434,1,177.17000000000002
CVE-2025-0282,9.0,0.94105,1,177.0525
CVE-2021-34523,9.0,0.94055,1,177.0275
CVE-2017-8543,9.8,0.77554,1,176.777
CVE-2018-4939,9.8,0.76955,1,176.4775
CVE-2018-14558,9.8,0.76772,1,176.386
CVE-2019-9874,9.8,0.76362,1,176.18099999999998
CVE-2024-38812,9.8,0.7507,1,175.535
CVE-2012-1710,9.8,0.74723,1,175.3615
CVE-2022-36804,8.8,0.94429,1,175.2145
CVE-2020-10199,8.8,0.94379,1,175.1895
CVE-2020-0688,8.8,0.94378,1,175.189
CVE-2021-40444,8.8,0.94332,1,175.166
CVE-2017-9822,8.8,0.94322,1,175.161
CVE-2021-34527,8.8,0.94318,1,175.159
CVE-2017-0144,8.8,0.94318,1,175.159
CVE-2012-0158,8.8,0.94314,1,175.15699999999998
CVE-2016-6277,8.8,0.94278,1,175.139
CVE-2020-11978,8.8,0.94272,1,175.136
CVE-2020-0618,8.8,0.94252,1,175.126
CVE-2022-41040,8.8,0.9419,1,175.095
CVE-2024-29824,8.8,0.94131,1,175.0655
CVE-2018-0798,8.8,0.94087,1,175.0435
CVE-2023-4863,8.8,0.94083,1,175.04149999999998
CVE-2014-6332,8.8,0.94069,1,175.0345
CVE-2017-0143,8.8,0.94022,1,175.011
CVE-2018-13382,9.1,0.88002,1,175.001
CVE-2022-43769,8.8,0.93976,1,174.988
CVE-2019-3398,8.8,0.93863,1,174.9315
CVE-2019-9082,8.8,0.93853,1,174.9265
CVE-2010-1871,8.8,0.93818,1,174.909
CVE-2022-41080,8.8,0.93795,1,174.8975
CVE-2017-0146,8.8,0.9373,1,174.865
CVE-2023-1389,8.8,0.93723,1,174.8615
CVE-2021-25296,8.8,0.93708,1,174.85399999999998
CVE-2009-0927,8.8,0.93673,1,174.8365
CVE-2020-1956,8.8,0.93659,1,174.8295
CVE-2020-4428,9.1,0.87648,1,174.824
CVE-2017-8464,8.8,0.93637,1,174.8185
CVE-2022-33891,8.8,0.93397,1,174.6985
CVE-2021-42321,8.8,0.93343,1,174.6715
CVE-2017-0145,8.8,0.93266,1,174.633
CVE-2014-0322,8.8,0.93203,1,174.6015
CVE-2024-6047,9.8,0.72966,1,174.483
CVE-2011-0611,8.8,0.92899,1,174.4495
CVE-2019-11708,10.0,0.68885,1,174.4425
CVE-2023-22952,8.8,0.92822,1,174.411
CVE-2012-1889,8.8,0.92781,1,174.3905
CVE-2021-26411,8.8,0.92473,1,174.2365
CVE-2013-2551,8.8,0.92382,1,174.191
CVE-2023-34192,9.0,0.88222,1,174.111
CVE-2019-11043,8.7,0.94105,1,174.0525
CVE-2012-1856,8.8,0.91946,1,173.973
CVE-2020-10221,8.8,0.91867,1,173.9335
CVE-2018-17463,8.8,0.91647,1,173.8235
CVE-2015-2426,8.8,0.91644,1,173.822
CVE-2016-6366,8.8,0.91605,1,173.8025
CVE-2012-4792,8.8,0.91527,1,173.7635
CVE-2022-26923,8.8,0.91441,1,173.7205
CVE-2023-36025,8.8,0.91388,1,173.69400000000002
CVE-2017-6884,8.8,0.91113,1,173.5565
CVE-2017-6334,8.8,0.91073,1,173.5365
CVE-2021-21017,8.8,0.90641,1,173.3205
CVE-2023-33538,8.8,0.90567,1,173.2835
CVE-2009-3953,8.8,0.90514,1,173.257
CVE-2015-8651,8.8,0.90482,1,173.24099999999999
CVE-2014-6278,8.8,0.90482,1,173.24099999999999
CVE-2023-32315,8.6,0.94441,1,173.22050000000002
CVE-2024-28995,8.6,0.94354,1,173.177
CVE-2024-24919,8.6,0.94342,1,173.171
CVE-2023-26360,8.6,0.9433,1,173.165
CVE-2016-7201,8.8,0.90142,1,173.071
CVE-2015-4068,9.1,0.84121,1,173.0605
CVE-2024-8956,9.1,0.84059,1,173.02949999999998
CVE-2008-0655,9.8,0.69964,1,172.982
CVE-2024-48248,8.6,0.93961,1,172.9805
CVE-2022-43939,8.6,0.93789,1,172.8945
CVE-2019-13720,8.8,0.89672,1,172.836
CVE-2021-21220,8.8,0.89621,1,172.8105
CVE-2019-15949,8.8,0.89478,1,172.739
CVE-2016-7200,8.8,0.89395,1,172.6975
CVE-2013-1347,8.8,0.89245,1,172.6225
CVE-2018-0824,8.8,0.88995,1,172.4975
CVE-2014-0502,8.8,0.88709,1,172.3545
CVE-2011-3402,8.8,0.88671,1,172.3355
CVE-2014-6324,8.8,0.88432,1,172.216
CVE-2021-39144,8.5,0.94353,1,172.1765
CVE-2013-3897,8.8,0.88246,1,172.123
CVE-2013-3163,8.8,0.88223,1,172.1115
CVE-2018-8414,8.8,0.87937,1,171.9685
CVE-2019-0344,9.8,0.67266,1,171.633
CVE-2013-3918,8.8,0.87059,1,171.52949999999998
CVE-2025-30406,9.0,0.82827,1,171.4135
CVE-2018-6065,8.8,0.86799,1,171.3995
CVE-2020-6418,8.8,0.86795,1,171.3975
CVE-2024-40711,9.8,0.66734,1,171.36700000000002
CVE-2022-26501,9.8,0.66731,1,171.3655
CVE-2019-12991,8.8,0.86507,1,171.2535
CVE-2020-1020,8.8,0.86425,1,171.2125
CVE-2021-22991,9.8,0.6626,1,171.13
CVE-2021-30632,8.8,0.86124,1,171.062
CVE-2014-0496,9.8,0.66096,1,171.048
CVE-2023-27524,8.9,0.84085,1,171.0425
CVE-2013-3893,8.8,0.86047,1,171.0235
CVE-2016-3714,8.4,0.93749,1,170.8745
CVE-2020-17144,8.4,0.92725,1,170.3625
CVE-2019-11707,8.8,0.84688,1,170.344
CVE-2017-6736,8.8,0.84465,1,170.23250000000002
CVE-2020-16009,8.8,0.84383,1,170.1915
CVE-2025-34028,10.0,0.58649,1,169.3245
CVE-2023-46805,8.2,0.94346,1,169.173
CVE-2024-21893,8.2,0.9432,1,169.16
CVE-2023-41266,8.2,0.94295,1,169.1475
CVE-2015-2590,9.8,0.62149,1,169.0745
CVE-2010-4344,9.8,0.61461,1,168.7305
CVE-2019-0541,8.8,0.81294,1,168.647
CVE-2016-4657,8.8,0.81084,1,168.542
CVE-2018-0125,9.8,0.60995,1,168.4975
CVE-2025-22457,9.0,0.76863,1,168.4315
CVE-2019-6340,8.1,0.94438,1,168.219
CVE-2018-11776,8.1,0.94431,1,168.2155
CVE-2017-9805,8.1,0.94384,1,168.192
CVE-2017-12617,8.1,0.94372,1,168.186
CVE-2017-12615,8.1,0.9436,1,168.18
CVE-2021-25298,8.8,0.8035,1,168.175
CVE-2015-2419,8.8,0.80247,1,168.1235
CVE-2020-0601,8.1,0.94093,1,168.0465
CVE-2017-0148,8.1,0.94067,1,168.0335
CVE-2017-17562,8.1,0.9397,1,167.985
CVE-2021-32648,8.2,0.91958,1,167.97899999999998
CVE-2014-1812,8.8,0.79908,1,167.954
CVE-2017-5521,8.1,0.93804,1,167.902
CVE-2024-21412,8.1,0.9377,1,167.885
CVE-2018-7841,9.8,0.59503,1,167.7515
CVE-2021-38003,8.8,0.79343,1,167.6715
CVE-2012-0754,8.1,0.93101,1,167.5505
CVE-2019-1579,8.1,0.93028,1,167.514
CVE-2025-30066,8.6,0.82886,1,167.443
CVE-2012-4969,8.1,0.92544,1,167.272
CVE-2021-30551,8.8,0.78399,1,167.1995
CVE-2015-1770,8.8,0.78193,1,167.0965
CVE-2017-0037,8.1,0.92162,1,167.08100000000002
CVE-2018-6961,8.1,0.9207,1,167.035
CVE-2020-8599,9.8,0.5786,1,166.93
CVE-2025-0994,8.8,0.77795,1,166.8975
CVE-2021-3493,8.8,0.77608,1,166.804
CVE-2017-6327,8.8,0.77325,1,166.6625
CVE-2016-5198,8.8,0.77011,1,166.50549999999998
CVE-2021-44026,9.8,0.56992,1,166.49599999999998
CVE-2015-2424,8.8,0.76715,1,166.35750000000002
CVE-2020-9377,8.8,0.76636,1,166.318
CVE-2012-5054,8.8,0.76609,1,166.30450000000002
CVE-2022-41082,8.0,0.91515,1,165.7575
CVE-2006-2492,8.8,0.75259,1,165.6295
CVE-2021-22555,8.3,0.85239,1,165.61950000000002
CVE-2025-2775,9.3,0.65187,1,165.5935
CVE-2019-16256,9.8,0.5499,1,165.495
CVE-2025-32433,10.0,0.50575,1,165.2875
CVE-2017-11882,7.8,0.94384,1,165.192
CVE-2017-0199,7.8,0.94366,1,165.183
CVE-2021-1675,7.8,0.94314,1,165.15699999999998
CVE-2021-27065,7.8,0.94285,1,165.14249999999998
CVE-2017-8570,7.8,0.94247,1,165.1235
CVE-2025-23006,9.8,0.54196,1,165.098
CVE-2018-0802,7.8,0.94103,1,165.0515
CVE-2017-8759,7.8,0.93893,1,164.94650000000001
CVE-2010-3333,7.8,0.93852,1,164.926
CVE-2023-38831,7.8,0.93799,1,164.8995
CVE-2015-1641,7.8,0.93571,1,164.7855
CVE-2018-20250,7.8,0.93476,1,164.738
CVE-2010-1297,7.8,0.93388,1,164.69400000000002
CVE-2008-2992,7.8,0.93377,1,164.6885
CVE-2020-28949,7.8,0.93364,1,164.68200000000002
CVE-2007-5659,7.8,0.93276,1,164.638
